id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url,combined_features
4g9VvOS1WpFp2FZVSzvIZA,Poovukkul,Unnikrishnan,Jeans (Original Motion Picture Soundtrack),1998-06-27,56,413425,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8,"Unnikrishnan Jeans (Original Motion Picture Soundtrack) tamil pop, kollywood, telugu pop, tollywood"
5XI8QHHWAF1iEhKNnnOqct,Kannuodu Kaanbadhalam,Nithyasree,Jeans (Original Motion Picture Soundtrack),1998-06-27,55,309735,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8,"Nithyasree Jeans (Original Motion Picture Soundtrack) tamil pop, kollywood"
68dGKf5eIchw0bxpuhk4g8,"Adiyae Azhagae - From ""Oru Naal Koothu""",Justin Prabhakaran,"Adiyae Azhagae (From ""Oru Naal Koothu"")",2015-10-08,60,289404,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b273dbf94edea716d4c16234757f,"Justin Prabhakaran Adiyae Azhagae (From ""Oru Naal Koothu"") tollywood, telugu pop, tamil pop, kollywood"
5LUWhfLyBZ4BoSXjFrymts,Columbus Columbus,A.R. Rahman,Jeans (Original Motion Picture Soundtrack),1998-06-27,47,292226,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8,"A.R. Rahman Jeans (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
5FfRt0NaBuDIHpRgsiCkWu,Anbae Anbae,Hariharan,Jeans (Original Motion Picture Soundtrack),1998-06-27,56,332428,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27378248070d378199ec5a2f7c8,"Hariharan Jeans (Original Motion Picture Soundtrack) bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop"
2yqDYVdqDTdLCapVQC4Ai7,Yaro Yarodi,Mahalakshmi Iyer,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,344840,"bollywood, desi, hindi pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"Mahalakshmi Iyer Alaipayuthey (Original Motion Picture Soundtrack) bollywood, desi, hindi pop"
1EZhqgL0GEazZRiiNCTUIe,September Madham,Asha Bhosle,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,307013,"ghazal, marathi pop, bangla pop, bollywood, hindi pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"Asha Bhosle Alaipayuthey (Original Motion Picture Soundtrack) ghazal, marathi pop, bangla pop, bollywood, hindi pop"
7AkzozQlhMtap4UReNhFKJ,Pachai Nirame,Hariharan,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,358560,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"Hariharan Alaipayuthey (Original Motion Picture Soundtrack) bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop"
2uMna3stB334N2PyWJyVAx,Kadhal Sadugudu,S.P. Charan,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,273866,"telugu pop, tollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"S.P. Charan Alaipayuthey (Original Motion Picture Soundtrack) telugu pop, tollywood, tamil pop, kollywood"
05lZgm6JlKxKbTXeHYzIG1,Evano Oruvan,Swarnalatha,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,356413,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"Swarnalatha Alaipayuthey (Original Motion Picture Soundtrack) tamil pop, tamil dance, kollywood"
2HKoYSvQNq9Tx7KjpiBiYM,Alaipayuthey,Kalyani Menon,Alaipayuthey (Original Motion Picture Soundtrack),2000-12-31,0,221266,"tamil pop, malayalam pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b27311d08632cead4b3c78756af0,"Kalyani Menon Alaipayuthey (Original Motion Picture Soundtrack) tamil pop, malayalam pop, kollywood, telugu pop, tollywood"
1xMjm5Qar9oGMgoSZxRb6h,Oday Oday,G. V. Prakash,Raja Rani (Original Motion Picture Soundtrack),2013-08-23,43,271000,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b27384e60191c6706523261a8bef,"G. V. Prakash Raja Rani (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop"
1j43t49cLbeCiRpwTsAq4B,Yenna Solla Pogirai,Shankar Mahadevan,Introducing Shankar Mahadevan: The Voice Of India Today,2007-04-24,0,359920,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b27359c821164ca7d426bc6a3096,"Shankar Mahadevan Introducing Shankar Mahadevan: The Voice Of India Today bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi"
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),2010-11-08,63,238986,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b27334b1bdfeeb594c3295a2c17f,"G. V. Prakash Aadukalam (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop"
5S58zsYhVV4loJFTOrxFDE,Sandhipoma,A.R. Rahman,Enakku 20 Unakku 18,2003-12-05,0,336128,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2738b2f8fbf833254e2822a60fd,"A.R. Rahman Enakku 20 Unakku 18 tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
6wBXSf1chpnyXGOSvANs0a,Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),2016-06-20,0,268055,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273d2c57132f48f437dc2976acc,"A.R. Rahman Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
4vlMdXsRpAIXYggwbNHZSv,Nenjukkul Peidhidum,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,65,369333,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1,"Harris Jayaraj Vaaranam Aayiram (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
3RTSwqeT3UDNUhMECiJ99K,Udhungada Sangu,Anirudh Ravichander,Wunderboy Anirudh,2016-03-03,0,209640,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2738f94bd8e3d094fc64ec2bb0c,"Anirudh Ravichander Wunderboy Anirudh tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop"
6vZj02bcQqLTYRAi4jRkw7,Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,2006-08-02,0,356941,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273ee67ff5664c9991b2bd2894e,"A.R. Rahman Silunu Oru Kadhal tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
3DU8cZOlFamdmNclaHjJiy,"Kaattrae En Vaasal (Wind) (From ""Rhythm"")",Unnikrishnan,The Music of Madras - A. R. Rahman Hits,2015-12-31,43,378560,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273fae8b192ea64f6c5dacf52d2,"Unnikrishnan The Music of Madras - A. R. Rahman Hits tamil pop, kollywood, telugu pop, tollywood"
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,D. Imman,Rummy (Original Motion Picture Soundtrack),2013-10-25,61,300373,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273afb3b966469add924abb08c3,"D. Imman Rummy (Original Motion Picture Soundtrack) tamil pop, tamil dance, kollywood"
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),2010-04-04,66,396466,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273d496b47f528e298bdaacae30,"G. V. Prakash Madharasapattinam (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tollywood, tamil hip hop"
65hrZPcYs8AlXbRl8375gO,Azhagiye,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),2017-03-20,57,224657,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2737ad03b464912073101d24710,"A.R. Rahman Kaatru Veliyidai (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
0NlKDGqNJ1is6V8eLBhj7S,"Selfie Pulla (From ""Kaththi"")",Vijay,Kaththi (Original Motion Picture Soundtrack),2014-09-18,0,291002,"tamil pop, tamil dance, kollywood, haryanvi pop",https://i.scdn.co/image/ab67616d0000b273da54b6edee7dcfde6c258f14,"Vijay Kaththi (Original Motion Picture Soundtrack) tamil pop, tamil dance, kollywood, haryanvi pop"
6YcBBZVKYYRirfeAt6BeGA,Machi Open the Bottle,Yuvan Shankar Raja,Mankatha (Original Motion Picture Soundtrack),2011-08-10,59,285973,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood",https://i.scdn.co/image/ab67616d0000b27324f3ca794c241a2673b8c9a2,"Yuvan Shankar Raja Mankatha (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance, tamil hip hop, tollywood"
1TgVIOdcdsPx1sXyVE6aDz,En Frienda Pola,Krish,Nanban (Original Motion Picture Soundtrack),2011-12-23,0,237191,"tamil pop, kollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273105a73df60d84f149d8ddb20,"Krish Nanban (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil hip hop"
2PcgMmmhIZA83kwIYEjR8f,Kalasala Kalasala,Thaman S,Osthe (Original Motion Picture Soundtrack),2011-10-19,62,251813,"tollywood, telugu pop, tamil dance, tamil pop, kollywood, kannada pop",https://i.scdn.co/image/ab67616d0000b2738a24475f112713e524d9a070,"Thaman S Osthe (Original Motion Picture Soundtrack) tollywood, telugu pop, tamil dance, tamil pop, kollywood, kannada pop"
00DMv3gdOFGDBFZ0WuvtXn,Visiri,Darbuka Siva,Visiri (From 'Enai Noki Paayum Thota'),2018-01-01,0,311127,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2739044a682ba8ba3d2e0ed6bd0,"Darbuka Siva Visiri (From 'Enai Noki Paayum Thota') tamil pop, kollywood"
32A0uFoMdlEB1tlnktxfV9,"Kurukku Siruthvalea ( From ""Mudhalvan"")",Hariharan,Isai Sangamam,2013-06-21,45,398341,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273ebfb6c09b19ca58454811a58,"Hariharan Isai Sangamam bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop"
6LZMyXLR6hU4RkXXeFwhNd,"Uppu Karuvaadu ( From ""Mudhalvan"")",Shankar Mahadevan,A.R.Rahman's - Music Forever,2013-07-18,33,334733,"bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi",https://i.scdn.co/image/ab67616d0000b2738aeb25ae1a3d4fbc994d969d,"Shankar Mahadevan A.R.Rahman's - Music Forever bollywood, marathi pop, bhajan, devotional, desi, tamil dance, hindi pop, tamil pop, sufi"
11SvvwLJ9ClLgNOBhADnE2,Vellai Pookal,A.R. Rahman,Kannathil Muthamittal (Original Motion Picture Soundtrack),2002-02-14,0,315977,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b27349768e1037362dedb3519b58,"A.R. Rahman Kannathil Muthamittal (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
1hEjxkQ0vcWmrYtGlQr2IC,"Devathaiya Kandein (From ""Kadhal Kondaen"")",Harish Raghavendra,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,2013-07-23,0,310612,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273062d3faccfcbee2ff4f250ac,"Harish Raghavendra Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja tamil pop, kollywood, telugu pop, tollywood"
5jOi67yXzjpMdl6KFNWSIe,Usure Pogudhey,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),2010-10-14,63,366506,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2735db9a5994534b00e3ece84a9,"A.R. Rahman Raavanan (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
7d1NhML57HjWc4yjis1CQX,Rasaali,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),2016-06-20,0,338399,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273d2c57132f48f437dc2976acc,"A.R. Rahman Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack) tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance"
5Gd3pzjK9F7caWRS1fMD68,Melliname,Harish Raghavendra,Shajahaan,2001-05-09,62,326008,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273f4ed7fcf0ad41f416974dc6d,"Harish Raghavendra Shajahaan tamil pop, kollywood, telugu pop, tollywood"
6vztfVJ1lTWe23YMNv6Pk1,Hasili Fisiliye,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),2009-08-09,59,318266,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273555862c7f059ba85617a68ee,"Harris Jayaraj Aadhavan (Original Motion Picture Soundtrack) tamil pop, kollywood, tamil dance"
