id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
6wBXSf1chpnyXGOSvANs0a,Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),2016-06-20,0,268055,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273d2c57132f48f437dc2976acc
4vlMdXsRpAIXYggwbNHZSv,Nenjukkul Peidhidum,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08,65,369333,"tamil pop, kollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b273812bfb4e32feb448e527e8b1
3RTSwqeT3UDNUhMECiJ99K,Udhungada Sangu,Anirudh Ravichander,Wunderboy Anirudh,2016-03-03,0,209640,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2738f94bd8e3d094fc64ec2bb0c
6vZj02bcQqLTYRAi4jRkw7,Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,2006-08-02,0,356941,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273ee67ff5664c9991b2bd2894e
3DU8cZOlFamdmNclaHjJiy,"Kaattrae En Vaasal (Wind) (From ""Rhythm"")",Unnikrishnan,The Music of Madras - A. R. Rahman Hits,2015-12-31,43,378560,"tamil pop, kollywood, telugu pop, tollywood",https://i.scdn.co/image/ab67616d0000b273fae8b192ea64f6c5dacf52d2
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,D. Imman,Rummy (Original Motion Picture Soundtrack),2013-10-25,61,300373,"tamil pop, tamil dance, kollywood",https://i.scdn.co/image/ab67616d0000b273afb3b966469add924abb08c3
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),2010-04-04,66,396466,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273d496b47f528e298bdaacae30
65hrZPcYs8AlXbRl8375gO,Azhagiye,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),2017-03-20,57,224657,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b2737ad03b464912073101d24710
0NlKDGqNJ1is6V8eLBhj7S,"Selfie Pulla (From ""Kaththi"")",Vijay,Kaththi (Original Motion Picture Soundtrack),2014-09-18,0,291002,"tamil pop, tamil dance, kollywood, haryanvi pop",https://i.scdn.co/image/ab67616d0000b273da54b6edee7dcfde6c258f14
6YcBBZVKYYRirfeAt6BeGA,Machi Open the Bottle,Yuvan Shankar Raja,Mankatha (Original Motion Picture Soundtrack),2011-08-10,59,285973,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood",https://i.scdn.co/image/ab67616d0000b27324f3ca794c241a2673b8c9a2
1TgVIOdcdsPx1sXyVE6aDz,En Frienda Pola,Krish,Nanban (Original Motion Picture Soundtrack),2011-12-23,0,237191,"tamil pop, kollywood, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273105a73df60d84f149d8ddb20
